,Mouse ID,Timepoint,Tumor Volume (mm3),Metastatic Sites,Drug Regimen,Sex,Age_months,Weight (g)
0,b128,0,45.0,0,Capomulin,Female,9,22
1460,w584,0,45.0,0,Infubinol,Male,3,29
1006,p136,0,45.0,0,Zoniferol,Female,5,28
461,a411,0,45.0,0,Ramicane,Male,3,22
1467,b447,0,45.0,0,Ceftamin,Male,2,30
1468,k210,0,45.0,0,Ceftamin,Male,15,28
215,c139,0,45.0,0,Infubinol,Male,11,28
1016,c559,0,45.0,0,Zoniferol,Female,19,28
213,c326,0,45.0,0,Infubinol,Female,18,25
1478,a275,0,45.0,0,Ceftamin,Female,20,28
992,f129,0,45.0,0,Zoniferol,Female,11,29
1488,x581,0,45.0,0,Ceftamin,Female,19,28
471,a444,0,45.0,0,Ramicane,Female,10,25
986,b313,0,45.0,0,Zoniferol,Male,12,27
203,w422,0,45.0,0,Ketapril,Female,18,26
996,j365,0,45.0,0,Zoniferol,Male,24,28
1498,n482,0,45.0,0,Propriva,Female,4,29
1450,e476,0,45.0,0,Infubinol,Male,23,26
227,a577,0,45.0,0,Infubinol,Female,6,25
1057,o926,0,45.0,0,Zoniferol,Male,15,29
1426,m756,0,45.0,0,Infubinol,Male,19,30
244,k483,0,45.0,0,Infubinol,Female,20,30
1053,m331,0,45.0,0,Zoniferol,Female,19,26
1428,n671,0,45.0,0,Infubinol,Male,18,25
443,q610,0,45.0,0,Ramicane,Female,18,21
225,v339,0,45.0,0,Infubinol,Male,20,26
1435,s121,0,45.0,0,Infubinol,Male,23,26
1441,v766,0,45.0,0,Infubinol,Male,16,27
234,y163,0,45.0,0,Infubinol,Female,17,27
1033,s337,0,45.0,0,Zoniferol,Male,14,27
451,j913,0,45.0,0,Ramicane,Female,4,17
1445,w193,0,45.0,0,Infubinol,Male,22,30
1026,a788,0,45.0,0,Zoniferol,Male,5,30
1043,q511,0,45.0,0,Zoniferol,Female,2,28
1499,t198,0,45.0,0,Propriva,Male,22,26
976,q633,0,45.0,0,Zoniferol,Male,12,25
1509,l215,0,45.0,0,Propriva,Male,10,29
924,f545,0,45.0,0,Zoniferol,Female,20,26
501,y449,0,45.0,0,Ramicane,Male,19,24
1558,x209,0,45.0,0,Propriva,Female,7,29
1561,x111,0,45.0,0,Propriva,Female,24,27
505,k403,0,45.0,0,Ramicane,Male,21,16
162,v295,0,45.0,0,Naftisol,Female,2,27
1548,g570,0,45.0,0,Propriva,Male,16,29
920,n967,0,45.0,0,Zoniferol,Male,11,27
910,c264,0,45.0,0,Zoniferol,Female,11,27
156,m133,0,45.0,0,Naftisol,Female,2,26
1567,n678,0,45.0,0,Propriva,Male,5,29
908,f394,0,45.0,0,Zoniferol,Male,19,30
1570,g558,0,45.0,0,Propriva,Male,8,29
515,c758,0,45.0,0,Ramicane,Male,9,17
1564,z435,0,45.0,0,Propriva,Female,12,26
171,a818,0,45.0,0,Naftisol,Female,12,28
934,k894,0,45.0,0,Zoniferol,Female,13,29
1541,s187,0,45.0,0,Propriva,Male,22,25
972,x613,0,45.0,0,Zoniferol,Female,2,29
1512,s141,0,45.0,0,Propriva,Male,8,25
481,d251,0,45.0,0,Ramicane,Female,8,19
193,k382,0,45.0,0,Ketapril,Male,22,29
1519,o523,0,45.0,0,Propriva,Female,6,25
962,w575,0,45.0,0,Zoniferol,Female,16,28
1522,i635,0,45.0,0,Propriva,Male,21,26
959,d164,0,45.0,0,Zoniferol,Male,21,28
949,g296,0,45.0,0,Zoniferol,Female,14,29
183,t724,0,45.0,0,Naftisol,Female,2,25
491,j989,0,45.0,0,Ramicane,Male,8,19
181,y601,0,45.0,0,Naftisol,Female,23,25
1532,w746,0,45.0,0,Propriva,Male,1,26
1534,r107,0,45.0,0,Propriva,Female,2,28
352,o973,0,45.0,0,Ketapril,Female,11,29
1424,o813,0,45.0,0,Infubinol,Male,24,28
436,c458,0,45.0,0,Ramicane,Female,23,20
1414,a685,0,45.0,0,Infubinol,Male,8,30
1412,h531,0,45.0,0,Ceftamin,Male,5,27
323,v603,0,45.0,0,Ketapril,Female,22,30
1170,e227,0,45.0,0,Placebo,Male,1,30
1278,t994,0,45.0,0,Placebo,Male,14,30
381,m650,0,45.0,0,Ketapril,Male,15,27
637,z578,0,45.0,0,Ramicane,Male,11,16
1283,p310,0,45.0,0,Propriva,Male,6,26
1180,c282,0,45.0,0,Placebo,Male,12,27
1289,a699,0,45.0,0,Propriva,Female,5,28
313,u327,0,45.0,0,Ketapril,Male,17,25
1154,s152,0,45.0,0,Placebo,Female,4,30
1299,k603,0,45.0,0,Propriva,Male,2,27
391,v289,0,45.0,0,Ketapril,Female,3,26
306,q132,0,45.0,0,Infubinol,Female,1,30
1304,x822,0,45.0,0,Ceftamin,Male,3,29
1160,c766,0,45.0,0,Placebo,Female,13,26
1268,c757,0,45.0,0,Placebo,Male,9,27
1190,v989,0,45.0,0,Placebo,Male,4,25
1265,i477,0,45.0,0,Placebo,Female,3,30
1227,s166,0,45.0,0,Placebo,Male,19,27
1209,y478,0,45.0,0,Placebo,Female,3,25
1230,x773,0,45.0,0,Placebo,Female,21,30
361,c832,0,45.0,0,Ketapril,Male,18,29
1199,o795,0,45.0,0,Placebo,Female,20,26
343,d474,0,45.0,0,Ketapril,Male,18,27
1240,w167,0,45.0,0,Placebo,Female,6,28
1198,l872,0,45.0,0,Placebo,Male,19,30
1248,t718,0,45.0,0,Placebo,Female,10,30
1195,v409,0,45.0,0,Placebo,Female,16,25
1258,o302,0,45.0,0,Placebo,Female,2,29
